Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,2.0,90.0,571.479602,11828.0,10083.48688
Four-Door Car,Basic,Offer1,Employed,Married,College,6.0,62.0,114.51444,44762.0,4943.386117
Two-Door Car,Basic,Offer1,Retired,Married,Master,2.0,62.0,257.248789,21514.0,11981.98481
Four-Door Car,Premium,Offer3,Disabled,Married,High School or Below,1.0,116.0,556.8,17913.0,4550.856045
Two-Door Car,Basic,Offer3,Medical Leave,Married,High School or Below,1.0,62.0,355.820799,19030.0,2372.155492
SUV,Basic,Offer2,Employed,Married,Bachelor,8.0,107.0,85.063708,94389.0,8649.700578
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,2.0,101.0,584.567645,25419.0,12052.98409
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,66.0,144.987956,26477.0,2621.116054
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,5.0,65.0,264.563772,36615.0,5243.828046
Four-Door Car,Premium,Offer3,Employed,Divorced,College,3.0,117.0,582.781896,59624.0,9156.322563
Four-Door Car,Extended,Offer1,Employed,Married,Master,5.0,78.0,39.781368,37813.0,6259.510365
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,2.0,66.0,227.44626,35624.0,19237.77089
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,1.0,63.0,347.857619,24910.0,2248.449633
Two-Door Car,Basic,Offer2,Employed,Divorced,Master,3.0,70.0,239.328571,62739.0,5581.761298
Four-Door Car,Basic,Offer2,Retired,Divorced,Bachelor,1.0,71.0,340.8,18608.0,2538.62632
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,61.0,439.2,46210.0,2402.333284
Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,7.0,64.0,307.2,0.0,4774.751709
SUV,Extended,Offer1,Unemployed,Single,College,1.0,129.0,1178.950186,0.0,4711.845199
SUV,Basic,Offer4,Disabled,Married,High School or Below,1.0,100.0,480.0,15192.0,3832.118106
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,1.0,70.0,350.65008,50397.0,2813.50617
